product_name,original_price,current_price,product_url,extraction-date
Escrivaninha Mesa Computador Madesa Alaska 3 Gavetas 1 Porta,469,399.99,https://produto.mercadolivre.com.br/MLB-1975772012-escrivaninha-mesa-computador-madesa-alaska-3-gavetas-1-porta-_JM?variation=93818145410&hide_psmb=true#reco_item_pos=11&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
Cômoda Madesa Laura Com 6 Gavetas,679,649.99,https://produto.mercadolivre.com.br/MLB-1274508596-cmoda-madesa-laura-com-6-gavetas-_JM?variation=40466574847&hide_psmb=true#reco_item_pos=12&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
Aspirador De Pó Philco Multi Clean Pas1300 650ml Vermelho 127v,189,169.90,https://produto.mercadolivre.com.br/MLB-1975218230-aspirador-de-po-philco-multi-clean-pas1300-650ml-vermelho-127v-_JM?hide_psmb=true#reco_item_pos=13&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
Kit 100 Máscara Kn95 Proteção 5 Camada Respiratória Pff2 N95,68,62.40,https://produto.mercadolivre.com.br/MLB-1949677291-kit-100-mascara-kn95-proteco-5-camada-respiratoria-pff2-n95-_JM?variation=91191971564&hide_psmb=true#reco_item_pos=14&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
Multilaser E Lite Dual Sim 32 Gb Preto 512 Mb Ram,349,316.70,https://produto.mercadolivre.com.br/MLB-1746375831-multilaser-e-lite-dual-sim-32-gb-preto-512-mb-ram-_JM?hide_psmb=true#reco_item_pos=15&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
"Notebook Acer Aspire 5 A514-54 Dourada 14 , Intel Core I5 1135g7  8gb De Ram 256gb Ssd, Intel Iris Xe Graphics G7 80eus 60 Hz 1920x1080px Windows 10 Home",3999,3499,https://produto.mercadolivre.com.br/MLB-2088664500-notebook-acer-aspire-5-a514-54-dourada-14-intel-core-i5-1135g7-8gb-de-ram-256gb-ssd-intel-iris-xe-graphics-g7-80eus-60-hz-1920x1080px-windows-10-home-_JM?hide_psmb=true#reco_item_pos=16&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
"Controle Sem Fio Xbox Electric Volt - Series X, S, One",529,427,https://produto.mercadolivre.com.br/MLB-2102259586-controle-sem-fio-xbox-electric-volt-series-x-s-one-_JM?variation=173967210877&hide_psmb=true#reco_item_pos=17&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
Cpu Gamer Barata Amd A8 16gb Ssd240 Video Radeon R7,2790,2455.20,https://produto.mercadolivre.com.br/MLB-1762362591-cpu-gamer-barata-amd-a8-16gb-ssd240-video-radeon-r7-_JM?hide_psmb=true#reco_item_pos=18&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
Chinelo Feminino Em Napa Holográfica Versalhes Beira Rio,69,13.98,https://produto.mercadolivre.com.br/MLB-2068724036-chinelo-feminino-em-napa-holografica-versalhes-beira-rio-_JM?hide_psmb=true#reco_item_pos=19&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
"Smartphone Motorola Edge 20 Tela 6,7 128 Gb  8 Gb Ram Branco",4999,2399,https://produto.mercadolivre.com.br/MLB-1962584749-smartphone-motorola-edge-20-tela-67-128-gb-8-gb-ram-branco-_JM?variation=92481797121&hide_psmb=true#reco_item_pos=20&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
